State:Action,QValue
-1,61:up,73.924286
-1,62:down,47.970947
-1,62:left,6.707086
-1,62:right,92.574585
-1,62:up,12.045437
-1,63:down,72.61982
-1,63:right,0.09889938
-1,63:up,6.206189
-1,64:down,16.596525
-1,64:right,23.815424
-1,64:up,22.150715
-1,65:left,30.155079
-1,65:right,79.13723
-1,65:up,19.165855
-1,66:down,0.05529182
-1,66:right,53.26767
-1,66:up,10.5699
-1,67:right,46.043896
-1,68:right,71.943344
-1,68:up,29.195438
-1,69:right,62.282173
-1,7:down,20.62313
-1,7:left,4.2994046
-1,7:right,9.114143
-1,7:up,7.565188
-1,70:up,10.064956
-1,71:left,1.0219983
-1,71:right,20.157253
-1,71:up,39.603355
-1,72:left,12.673491
-1,72:right,33.022804
-1,72:up,52.309814
-1,73:down,32.687145
-1,73:left,13.205292
-1,73:right,52.535877
-1,73:up,32.33224
-1,74:down,57.490395
-1,74:left,0.4301751
-1,74:right,17.425978
-1,74:up,3.5520742
-1,75:down,39.24225
-1,75:up,0.54540795
-1,76:down,9.830384
-1,76:left,-0.29780433
-1,76:up,40.846966
-1,77:down,5.585952
-1,77:left,-0.24468377
-1,77:right,52.84561
-1,77:up,0.06762062
-1,78:up,18.290842
-1,79:left,0.47123116
-1,79:right,41.028236
-1,79:up,14.951841
-1,8:down,4.607584
-1,8:left,3.9175894
-1,8:right,31.23566
-1,8:up,5.468509
-1,80:down,13.076811
-1,80:left,9.752998
-1,80:right,48.907093
-1,80:up,7.111478
-1,81:down,4.889929
-1,81:left,7.245805
-1,81:right,46.735935
-1,81:up,-0.1440278
-1,82:down,22.95913
-1,82:up,12.127943
-1,83:down,4.8330984
-1,83:left,-0.2721478
-1,83:right,42.3327
-1,83:up,14.725147
-1,84:down,20.684952
-1,84:right,39.55256
-1,84:up,11.403801
-1,85:right,12.12897
-1,85:up,33.994595
-1,86:down,2.0606718
-1,86:left,2.528924
-1,86:right,39.401924
-1,86:up,1.8821803
-1,87:down,5.6141233
-1,87:left,0.094285026
-1,87:right,26.964195
-1,87:up,11.449795
-1,88:down,6.7606244
-1,88:left,-0.1598634
-1,88:right,11.468891
-1,88:up,31.033318
-1,89:left,0.38631186
-1,89:right,36.390938
-1,89:up,6.080668
-1,9:down,0.7243279
-1,9:left,8.657767
-1,9:right,33.394688
-1,9:up,14.778911
-1,90:down,25.874132
-1,90:right,10.905057
-1,90:up,8.637414
-1,91:down,6.635277
-1,91:right,23.78188
-1,91:up,31.613388
-1,92:down,8.2924795
-1,92:left,0.11995383
-1,92:right,34.759544
-1,92:up,15.660326
-1,93:down,33.219627
-1,93:left,0.23865011
-1,93:right,25.538338
-1,93:up,7.0411954
-1,94:down,29.873915
-1,94:right,19.34605
-1,94:up,-0.19759947
-1,95:down,8.003422
-1,95:left,4.288101
-1,95:right,24.102463
-1,95:up,-0.17398958
-1,96:down,-0.12601045
-1,96:left,-0.16373885
-1,96:right,15.491383
-1,96:up,-0.06741814
-1,97:down,0.956094
-1,97:right,26.540936
-1,97:up,-0.14446244
-1,98:down,7.4575977
-1,98:up,-0.31519654
-1,99:down,0.26673296
-1,99:left,-0.18264315
-1,99:right,26.408314
-1,99:up,-0.41955143
-2,10:up,0.3914644
-2,100:right,0.2058735
-2,100:up,-0.14067903
-2,101:down,0.02067901
-2,101:up,-0.29261765
-2,102:down,0.11261765
-2,102:up,-0.29450136
-2,103:down,0.35450137
-2,103:up,-0.2963347
-2,104:down,0.116334684
-2,11:up,1.5711836
-2,12:right,7.6733255
-2,12:up,0.3854723
-2,13:right,0.56596863
-2,14:right,10.859383
-2,15:left,0.21065255
-2,16:right,0.2305
-2,19:right,13.91141
-2,19:up,0.9110734
-2,2:right,7.8402395
-2,20:down,0.88520706
-2,20:right,-0.02138856
-2,20:up,0.05540909
-2,21:left,-0.45866162
-2,21:up,0.47283414
-2,22:right,0.31196564
-2,22:up,0.18937299
-2,23:down,-0.012100831
-2,23:right,7.910755
-2,3:up,0.40254
-2,31:up,0.01793902
-2,32:down,-0.18754496
-2,32:left,-0.19278409
-2,32:up,0.15702097
-2,33:right,30.811634
-2,33:up,0.0007299006
-2,34:right,0.79685855
-2,34:up,0.23569451
-2,35:right,0.9427813
-2,36:up,0.5666052
-2,37:down,0.13461778
-2,37:left,-0.58804893
-2,37:up,1.4643505
-2,38:down,0.39740017
-2,38:left,-0.32245603
-2,38:up,3.1083827
-2,39:down,0.05193362
-2,39:right,40.65705
-2,4:right,9.4343
-2,40:down,0.22801422
-2,40:up,0.20151673
-2,41:left,-0.017482376
-2,41:right,23.331821
-2,43:right,0.88179535
-2,44:up,0.0004469991
-2,45:right,52.979042
-2,46:down,8.531209
-2,47:down,0.18985496
-2,47:up,-0.2555942
-2,48:down,-0.044405833
-2,48:left,0.2390966
-2,48:right,27.746687
-2,48:up,-0.26134944
-2,49:down,-0.068963245
-2,49:right,55.307373
-2,49:up,-0.027116098
-2,50:left,-0.55800086
-2,50:right,0.02999999
-2,51:down,-0.05598915
-2,51:left,0.23401223
-2,51:right,30.665882
-2,51:up,0.06774813
-2,52:down,4.135566
-2,52:left,-0.2458436
-2,52:up,-0.044405833
