Итерация,Значение
400,0.2773028
401,0.30592388
402,0.33191386
403,0.3088563
404,0.32292318
405,0.27897033
406,0.32299167
407,0.2710954
408,0.3019147
409,0.28594446
410,0.31795698
411,0.30191454
412,0.3373742
413,0.29578027
414,0.27723926
415,0.31051317
416,0.31010965
417,0.35587502
418,0.31964123
419,0.28740925
420,0.31408247
421,0.30288482
422,0.2825609
423,0.28797185
424,0.29548448
425,0.27304465
426,0.28407678
427,0.3044828
428,0.32991284
429,0.29084828
430,0.30766553
431,0.30809844
432,0.31156752
433,0.29514202
434,0.2973833
435,0.3021208
436,0.2882524
437,0.25966644
438,0.29680964
439,0.29240653
440,0.2757282
441,0.30178413
442,0.29003876
443,0.29705334
444,0.30341417
445,0.29656637
446,0.24888769
447,0.31388438
448,0.26868856
449,0.29730314
450,0.2565289
451,0.29401588
452,0.31836724
453,0.28682998
454,0.24245824
455,0.29860416
456,0.30296376
457,0.32221732
458,0.31082523
459,0.2978717
460,0.30195817
461,0.2720582
462,0.29731476
463,0.32513326
464,0.267224
465,0.27997178
466,0.29274753
467,0.26344916
468,0.27642694
469,0.29557353
470,0.29468054
471,0.29994196
472,0.30092227
473,0.28673288
474,0.2819117
475,0.30331972
476,0.31434414
477,0.29845476
478,0.28222767
479,0.2955596
480,0.27580863
481,0.29046434
482,0.2864071
483,0.2933888
484,0.27185023
485,0.28848112
486,0.2621765
487,0.26320064
488,0.25996011
489,0.27721554
490,0.2488114
491,0.2873209
492,0.30058578
493,0.3004672
494,0.3104331
495,0.3034769
496,0.25106794
497,0.2596742
498,0.29388508
499,0.25179282
500,0.2796859
501,0.2997249
502,0.27294862
503,0.28504166
504,0.3030743
505,0.27978197
506,0.29826158
507,0.27982855
508,0.31993678
509,0.304222
510,0.29373157
511,0.2585376
512,0.27327943
513,0.27436578
514,0.28818366
515,0.2711596
516,0.29042774
517,0.26335987
518,0.29784393
519,0.25015566
520,0.28395328
521,0.30916116
522,0.2924965
523,0.29745314
524,0.26755032
525,0.28507346
526,0.27803847
527,0.28080505
528,0.2922894
529,0.27590862
530,0.26029283
531,0.27942222
532,0.28507304
533,0.27468055
534,0.27340013
535,0.30209807
536,0.28038606
537,0.26379833
538,0.27595422
539,0.29565305
540,0.29179108
541,0.28999522
542,0.27778625
543,0.2873045
544,0.28088722
545,0.30581307
546,0.26768595
547,0.28668484
548,0.26585817
549,0.2800634
550,0.27423167
551,0.2678444
552,0.29083496
553,0.27135724
554,0.27267343
555,0.2543838
556,0.27692568
557,0.30017543
558,0.27324218
559,0.30371502
560,0.27869195
561,0.25718057
562,0.2672098
563,0.31320095
564,0.28119653
565,0.26755428
566,0.29382223
567,0.3122874
568,0.26906607
569,0.27826658
570,0.28221813
571,0.28726196
572,0.26791102
573,0.2763717
574,0.2883957
575,0.28487387
576,0.27125064
577,0.2775575
578,0.27577344
579,0.2613455
580,0.2873089
581,0.29263866
582,0.25927043
583,0.31090516
584,0.267156
585,0.27914092
586,0.26516786
587,0.3109704
588,0.27247956
589,0.30022722
590,0.2602391
591,0.28899845
592,0.2682783
593,0.2952781
594,0.27192956
595,0.2618309
596,0.3147213
597,0.25340816
598,0.26280895
599,0.29418507
600,0.23174325
601,0.2787887
602,0.2810438
603,0.2721782
604,0.28343266
605,0.295099
606,0.25824928
607,0.2596897
608,0.25350162
609,0.26003176
610,0.28425056
611,0.26607984
612,0.25620332
613,0.30879086
614,0.24717373
615,0.28687605
616,0.2712556
617,0.2792634
618,0.2592998
619,0.25935188
620,0.31182423
621,0.2617144
622,0.26231351
623,0.29786128
624,0.27561963
625,0.24740744
626,0.2590254
627,0.31327075
628,0.26737893
629,0.2746543
630,0.25814763
631,0.27260777
632,0.24619052
633,0.29979438
634,0.24999285
635,0.2901742
636,0.2634459
637,0.29391187
638,0.27242658
639,0.27278152
640,0.26485336
641,0.26222238
642,0.30273876
643,0.2827987
644,0.2701807
645,0.260245
646,0.27307978
647,0.25947702
648,0.2574696
649,0.25455463
650,0.23986307
651,0.29726714
652,0.2785448
653,0.28960845
654,0.2566123
655,0.2687087
656,0.26567107
657,0.26743704
658,0.28481525
659,0.25714377
660,0.26309812
661,0.29920894
662,0.2598543
663,0.27466398
664,0.26429507
665,0.2896341
666,0.28204158
667,0.25588778
668,0.27432308
669,0.24792771
670,0.28153083
671,0.2862318
672,0.27738437
673,0.27976897
674,0.24571428
675,0.27503592
676,0.28106108
677,0.27285898
678,0.25962532
679,0.2622566
680,0.26549268
681,0.25988975
682,0.27785876
683,0.2566937
684,0.2512622
685,0.27481553
686,0.28238353
687,0.27433994
688,0.27069694
689,0.2580309
690,0.24550696
691,0.26568434
692,0.30313954
693,0.2805727
694,0.28160238
695,0.26721063
696,0.28003812
697,0.2634021
698,0.2562805
699,0.24555352
700,0.24256875
701,0.2697061
702,0.2977677
703,0.28034028
704,0.26306182
705,0.263756
706,0.24634996
707,0.27948067
708,0.2795206
709,0.25218442
710,0.26511234
711,0.27398297
712,0.27859133
713,0.27240488
714,0.2546042
715,0.26824936
716,0.2848656
717,0.26277667
718,0.25136447
719,0.27176315
