Итерация,Значение
412,3155.676
413,4319.819
414,3225.8306
415,3564.9238
416,3244.3687
417,2960.117
418,4954.7207
419,3438.9126
420,5973.0654
421,3617.6406
422,3747.3228
423,3577.9243
424,2840.2139
425,2630.4282
426,4952.5283
427,3657.4165
428,5041.7817
429,3255.612
430,3139.6084
431,5003.461
432,3110.32
433,2907.174
434,4793.234
435,4676.211
436,5286.6963
437,5233.582
438,3842.6348
439,6497.2256
440,3879.9863
441,5399.0093
442,3372.8347
443,4395.8228
444,3679.489
445,3354.115
446,3923.25
447,3385.0818
448,4034.366
449,6870.8384
450,3763.5835
451,3032.9658
452,4575.9253
453,3444.375
454,4168.1377
455,3352.4255
456,5949.282
457,3019.9153
458,3728.5266
459,4945.7573
460,3713.6782
461,4300.4487
462,3263.8796
463,3873.424
464,4075.3374
465,5216.1743
466,3985.5867
467,4041.96
468,4644.136
469,5260.3716
470,6404.422
471,4391.704
472,2546.3928
473,4696.3247
474,3808.2935
475,4745.323
476,3637.666
477,4841.3867
478,4583.4688
479,3248.1282
480,6321.6904
481,4558.45
482,5202.42
483,3329.8506
484,5784.5625
485,5812.328
486,3236.321
487,4400.044
488,4908.033
489,7515.4663
490,5871.2925
491,4093.1765
492,4156.5874
493,3947.9268
494,3562.9458
495,3865.3262
496,4367.89
497,3707.0618
498,5758.266
499,3849.2102
500,4156.432
501,5224.0425
502,3232.774
503,4041.401
504,2842.636
505,4283.455
506,5500.109
507,5683.8745
508,4351.3066
509,6148.699
510,3711.6155
511,5831.1978
512,4231.065
513,5500.7817
514,2681.6785
515,6712.544
516,6003.41
517,4742.7754
518,3958.4954
519,4267.7725
520,5553.131
521,4326.6855
522,4062.1304
523,5442.8887
524,4781.4185
525,4427.219
526,4852.577
527,5511.7734
528,5495.76
529,4410.922
530,5435.048
531,5888.7925
532,4064.9146
533,4780.635
534,5512.1714
535,5107.778
536,4234.2583
537,7086.742
538,3732.2764
539,3897.7627
540,5995.8115
541,3431.703
542,5438.389
543,5468.8296
544,5790.791
545,4632.507
546,7627.1
547,5582.4766
548,3529.1633
549,4392.576
550,5583.3496
551,4304.7026
552,5021.433
553,4908.233
554,3586.285
555,4993.2837
556,4785.446
557,5785.6704
558,5488.254
559,5113.3555
560,4239.4463
561,7091.1475
562,4760.464
563,5454.812
564,4407.054
565,6528.6763
566,4918.5
567,4810.283
568,4638.2817
569,4121.9355
570,4101.0503
571,5759.798
572,2130.1313
573,4103.398
574,5471.7964
575,5050.043
576,6083.6016
577,6195.242
578,5462.4067
579,4092.5781
580,5328.6226
581,4583.357
582,3728.365
583,7574.67
584,4996.2803
585,5975.4956
586,5787.199
587,4734.649
588,5476.194
589,5514.7324
590,5278.4126
591,4630.357
592,4728.7544
593,5653.7656
594,4700.2515
595,5052.6016
596,5680.5474
597,5413.714
598,6563.559
599,4649.0293
600,4719.2856
601,4914.079
602,3845.427
603,4791.4272
604,5894.8677
605,5080.0215
606,6085.6025
607,4651.356
608,5361.2637
609,5435.377
610,5172.0225
611,2889.3909
612,5431.222
613,5934.024
614,5282.9805
615,5797.195
616,6600.9834
617,3340.9922
618,5584.209
619,4128.3867
620,6558.6694
621,5643.9116
622,4193.394
623,3705.4863
624,8468.919
625,4019.5474
626,5194.2
627,7032.508
628,5726.8022
629,6349.2705
630,5643.4126
631,5171.1973
632,5593.0215
633,4307.6187
634,6078.781
635,6277.054
636,6551.49
637,5821.224
638,4509.941
639,5233.9204
640,6570.3057
641,6041.1743
642,3578.0322
643,5756.0903
644,6209.491
645,5067.532
646,5301.674
647,5195.757
648,6817.4424
649,6253.7617
650,5687.279
651,7624.135
652,6073.781
653,4441.8315
654,5612.488
655,5234.4053
656,6196.0815
657,5731.089
658,6850.9697
659,5205.1685
660,4297.273
661,5049.4067
662,5652.1885
663,4182.279
664,5128.0127
665,5335.418
666,5587.8335
667,7591.172
668,5696.855
669,5168.6543
670,6523.365
671,4649.7383
672,5077.482
673,7758.7993
674,7236.646
675,6345.2065
676,6703.733
677,6099.2725
678,6404.2666
679,6299.063
680,3753.5828
681,5841.094
682,4820.053
683,6542.13
684,6000.3564
685,5484.122
686,4703.551
687,4791.4404
688,7140.001
689,7483.8564
690,4958.167
691,5969.975
692,6449.389
693,5127.3135
694,4933.766
695,8224.3545
696,7227.58
697,7375.558
698,5153.01
699,7172.487
700,8172.12
701,7738.1753
702,8133.903
703,5527.163
704,5725.718
705,6284.962
706,6283.3584
707,5230.272
708,4239.679
709,8208.126
710,5299.385
711,8014.806
712,7195.5186
713,5157.67
714,5683.783
715,7467.039
716,6903.731
717,4878.465
718,4488.165
719,5766.895
720,7293.343
721,7537.8335
722,6822.9683
723,8884.447
724,4533.057
725,5360.8477
726,6283.1377
727,6208.4556
728,6789.18
729,5117.856
730,5923.797
731,5747.9224
732,7097.6885
733,6181.9766
734,5277.5767
735,7543.285
736,6239.7583
737,6758.6177
738,8529.712
739,6257.151
740,4224.321
741,6970.1963
742,6879.513
743,6018.1978
744,8957.868
745,8194.169
746,6450.2305
747,7126.989
748,7069.862
749,6511.383
750,7430.5386
751,3818.7786
752,5662.7383
753,5742.192
754,5852.57
755,7568.88
756,6067.798
757,5163.428
758,4064.4182
759,5406.9023
760,6266.0063
761,3185.6326
762,3363.4058
763,9235.322
764,4364.2246
765,6182.8447
766,6488.5947
767,6817.259
768,5513.753
769,7915.0005
770,6468.347
771,8194.683
772,6758.8857
773,7447.1763
774,6531.7466
775,5534.915
776,4026.2483
777,5651.611
778,7584.3
779,6124.409
780,5708.9023
781,4828.0913
782,5970.163
783,6710.617
784,5411.5586
785,6483.3506
786,5123.845
787,5852.828
788,5331.98
789,5060.431
790,6688.3633
791,6944.934
792,6004.2734
793,4319.5166
794,6059.367
795,4694.673
796,8987.458
797,6158.202
798,6594.486
799,7901.9775
800,6650.7876
801,5648.0986
802,8822.959
803,9285.16
804,7186.1094
805,6072.978
806,4720.984
807,5068.6064
808,7302.881
809,8504.154
810,8998.374
811,4506.2373
812,7192.2026
813,6336.1997
814,9131.313
