Parameter,Attempts,Successes,Failures,BlockingPercent
E,65477,58945,6532,9.98
N,76191,68946,7245,9.51
NE,74007,66650,7357,9.94
NW,68143,61347,6796,9.97
S,73020,65369,7651,10.48
SE,68851,61646,7205,10.46
SW,61965,55290,6675,10.77
W,62346,55844,6502,10.43
