Iteration,Value
0,0.10719232
1,0.13094814
2,0.14596123
3,0.1290213
4,0.1263314
5,0.13811047
6,0.14572492
7,0.15241249
8,0.1388311
9,0.13516393
10,0.14675707
11,0.106814004
12,0.16242553
13,0.1485795
14,0.15173209
15,0.13308392
16,0.12682019
17,0.12261625
18,0.12809013
19,0.14836547
20,0.13652015
21,0.11867553
22,0.12984551
23,0.1586002
24,0.15030012
25,0.10508481
26,0.1376247
27,0.11161946
28,0.15566376
29,0.10755788
30,0.12191297
31,0.14848211
32,0.14165547
33,0.14636208
34,0.1444409
35,0.11504706
36,0.13276802
37,0.12859072
38,0.118396506
39,0.1479328
40,0.1414249
41,0.10738881
42,0.12994385
43,0.15617213
44,0.10332929
45,0.15537585
46,0.12325735
47,0.14195018
48,0.13507402
49,0.12090146
50,0.12482773
51,0.12770896
52,0.1175015
53,0.14776212
54,0.12962952
55,0.11717606
56,0.11224129
57,0.13368037
58,0.15180336
59,0.13529006
60,0.13632753
61,0.11732079
62,0.14449221
63,0.12019775
64,0.11819384
65,0.10540805
66,0.13235259
67,0.15242213
68,0.11401422
69,0.12717643
70,0.14228275
71,0.16059145
72,0.1010226
73,0.109032586
74,0.124525614
75,0.13647747
76,0.13064249
77,0.14782007
78,0.093006544
79,0.1466895
80,0.11933803
81,0.13045172
82,0.13866335
83,0.14225647
84,0.13684525
85,0.1268313
86,0.13372262
87,0.12702107
88,0.123484395
89,0.105497055
90,0.14919344
91,0.10777126
92,0.16913329
93,0.14443572
94,0.118438125
95,0.113070846
96,0.14165357
97,0.12621021
98,0.14132679
99,0.11236515
100,0.14105017
101,0.1062296
102,0.10821928
103,0.11288497
104,0.10877253
105,0.115483455
106,0.11998552
107,0.13670702
108,0.15769872
109,0.12628092
110,0.112902105
111,0.13690159
112,0.13114077
113,0.119552396
114,0.13752337
115,0.11479168
116,0.13514234
117,0.13945182
118,0.12822857
119,0.14390591
120,0.13785312
121,0.124216825
122,0.12568563
123,0.13126245
124,0.15268257
125,0.13857141
126,0.12779017
127,0.15070823
128,0.11628088
129,0.1348942
130,0.12753639
131,0.11533041
132,0.117160946
133,0.13371207
134,0.13877353
135,0.12306443
136,0.12988867
137,0.13569234
138,0.093692765
139,0.12905118
140,0.13347709
141,0.13681151
142,0.13561851
143,0.13437292
144,0.15032655
145,0.12855077
146,0.103926234
147,0.12605214
148,0.15830624
149,0.16430134
150,0.11596099
151,0.13091674
152,0.13390432
153,0.13320014
154,0.091813765
155,0.13636757
156,0.1466272
157,0.13911054
158,0.09557613
159,0.13581355
160,0.17321551
161,0.09935998
162,0.119748786
163,0.12402861
164,0.12633243
165,0.12943888
166,0.13417625
167,0.14637832
168,0.12519044
169,0.15188608
170,0.096723095
171,0.11745304
172,0.111155406
173,0.091082186
174,0.13549413
175,0.11770091
176,0.11275014
177,0.16134235
178,0.12690978
179,0.13691005
180,0.11477332
181,0.12742715
182,0.118255205
183,0.12108189
184,0.13078652
185,0.12215788
186,0.118594915
187,0.12739448
188,0.13128924
189,0.13494726
190,0.11676004
191,0.13786045
192,0.122667745
193,0.14006066
194,0.123356976
195,0.108199656
196,0.11998279
197,0.10531544
198,0.17016114
199,0.1354107
200,0.11160421
201,0.12616745
202,0.09739013
203,0.12796587
204,0.12907754
205,0.12358354
206,0.12784277
207,0.115288466
208,0.13512513
209,0.134706
210,0.14523531
211,0.14900118
212,0.1242735
213,0.13506904
214,0.13207418
215,0.09205781
216,0.10769811
217,0.12418434
218,0.090627484
219,0.15402915
220,0.13916254
221,0.11487492
222,0.09333194
223,0.119603336
224,0.13345854
225,0.10879113
226,0.10009788
227,0.13017721
228,0.12964843
229,0.10252563
230,0.13975303
231,0.12725064
232,0.12434405
233,0.14351195
234,0.14302799
235,0.08657586
236,0.11618234
237,0.14442453
238,0.13794939
239,0.11471165
240,0.13201025
241,0.10008047
242,0.12471408
243,0.12132009
244,0.11030292
245,0.12615857
246,0.09653709
247,0.103416055
248,0.18246156
249,0.1308785
250,0.120640524
251,0.14406282
252,0.10601346
253,0.1384792
254,0.11417779
255,0.13620274
256,0.13986929
257,0.12181895
258,0.14440836
259,0.13369034
260,0.14582816
261,0.09853105
262,0.12693442
263,0.1253775
264,0.112592705
265,0.120884426
266,0.13524547
267,0.13133165
268,0.13296849
269,0.12817037
270,0.11935971
271,0.14747123
272,0.11219468
273,0.13966161
274,0.13753748
275,0.12144165
276,0.118660524
277,0.114273384
278,0.114387736
279,0.14082587
280,0.11487768
281,0.14899774
282,0.11200752
283,0.101118326
284,0.10485728
285,0.110687435
286,0.10413768
287,0.13494937
288,0.13433693
289,0.08816102
290,0.12733552
291,0.122239135
292,0.12212223
293,0.123981014
294,0.121525966
295,0.1296366
296,0.116088666
297,0.13307674
298,0.13551265
299,0.11673271
300,0.12153432
301,0.11853998
302,0.127116
303,0.1088746
304,0.11465672
305,0.14359681
306,0.12245305
307,0.096232586
308,0.09649885
309,0.10033922
310,0.10191262
311,0.11801131
312,0.12522356
313,0.08977224
314,0.116510086
315,0.14159417
316,0.11362625
317,0.143159
318,0.12227984
319,0.122436084
320,0.12989959
321,0.10949056
322,0.12469717
323,0.11575237
324,0.121104956
325,0.11429942
326,0.120136924
327,0.15574908
328,0.10572067
329,0.13287589
330,0.112674706
331,0.110381916
332,0.10967534
333,0.15762463
334,0.11836308
335,0.12739785
336,0.118914664
337,0.14420928
338,0.12876952
339,0.12059768
340,0.11985719
341,0.11654314
342,0.06869369
343,0.12090187
344,0.098421425
345,0.13215083
346,0.11800519
347,0.12869975
348,0.12104633
349,0.13265988
350,0.0784503
351,0.12780194
352,0.09682977
353,0.10011859
354,0.10352624
355,0.12000318
356,0.093411826
357,0.12521951
358,0.12019944
359,0.14223723
360,0.14656034
361,0.13554287
362,0.12164744
363,0.09076722
364,0.16312216
365,0.09193252
366,0.13606952
367,0.12229021
368,0.1284316
369,0.12344498
370,0.10827685
371,0.10696566
372,0.10412158
373,0.120270796
374,0.10328104
375,0.11696869
376,0.120996624
377,0.13448036
378,0.1394372
379,0.12368862
380,0.113844395
381,0.11039818
382,0.092001654
383,0.15491767
384,0.15892525
385,0.11920312
386,0.089687206
387,0.09946459
388,0.07900185
389,0.12628257
390,0.080589816
391,0.1287187
392,0.10852164
