State:Action,QValue
-0,95:up,-0.20052002
-0,96:right,4.533196
-0,96:up,1.6782279
-0,97:left,2.6741095
-0,97:right,8.585641
-0,97:up,-0.20056501
-0,98:down,-0.041743293
-0,98:left,-0.1270566
-0,98:right,5.454115
-0,98:up,-0.054000005
-1,-0:down,0.8776604
-1,-0:left,0.04692786
-1,-0:right,-0.007079825
-1,-1:down,0.56254363
-1,-1:left,2.7625976
-1,-1:right,4.1150637
-1,-1:up,6.626566
-1,-2:down,0.2279029
-1,-2:left,-0.16807672
-1,-2:up,2.7658002
-1,-3:up,1.3392609
-1,0:down,4.431287
-1,0:left,2.1519504
-1,0:right,9.8322735
-1,0:up,4.995267
-1,1:down,4.161476
-1,1:left,4.832099
-1,1:right,9.204398
-1,1:up,5.996597
-1,10:down,4.683108
-1,10:left,1.3327751
-1,10:right,13.173823
-1,10:up,5.6387224
-1,100:down,4.846994
-1,100:left,0.97825634
-1,100:right,1.0357203
-1,100:up,0.1336319
-1,101:down,0.28539836
-1,101:right,0.77933896
-1,109:up,0.16720961
-1,11:down,0.6133317
-1,11:left,1.5313408
-1,11:right,13.314487
-1,11:up,1.6343224
-1,110:down,0.029837634
-1,110:up,0.038308382
-1,111:down,0.056434825
-1,111:up,-0.22695
-1,112:down,-0.13702342
-1,112:up,-0.18915002
-1,113:up,-0.054000005
-1,114:up,-0.054000005
-1,115:up,-0.054000005
-1,116:down,0.03228209
-1,12:down,5.5248523
-1,12:left,0.09778157
-1,12:right,9.480989
-1,12:up,9.866411
-1,13:down,8.1683855
-1,13:left,1.3612378
-1,13:right,12.471939
-1,13:up,5.9183016
-1,14:down,3.8096151
-1,14:left,4.416134
-1,14:right,14.070871
-1,14:up,0.19899595
-1,15:down,4.1068196
-1,15:left,0.21377937
-1,15:right,11.813618
-1,15:up,0.44351012
-1,16:down,0.5093906
-1,16:left,1.9789444
-1,16:right,15.112912
-1,17:down,3.2425625
-1,17:right,15.135425
-1,17:up,5.2751603
-1,18:down,8.729215
-1,18:left,6.1994667
-1,18:right,16.20639
-1,18:up,0.35045645
-1,19:down,0.6169791
-1,19:left,0.11749704
-1,19:right,16.076357
-1,19:up,8.392825
-1,2:down,3.8992333
-1,2:left,3.3942628
-1,2:right,10.909687
-1,2:up,7.615063
