Parameter,AverageFailures,MinFailures,MaxFailures
E,13.582822085889571,1,78
N,14.049792531120332,1,100
NE,16.04722792607803,1,105
NW,14.50328227571116,1,107
S,12.012165450121655,1,99
SE,13.418092909535453,1,79
SW,14.590618336886994,1,98
W,14.24847250509165,1,99
