Итерация,Значение
399,242.26488
400,242.27603
401,242.29034
402,242.29117
403,242.30011
404,242.31552
405,242.3252
406,242.334
407,242.35686
408,242.33965
409,242.3508
410,242.3594
411,242.37439
412,242.3803
413,242.39642
414,242.41061
415,242.4237
416,242.43079
417,242.43611
418,242.4489
419,242.46077
420,242.46724
421,242.47963
422,242.48587
423,242.49664
424,242.5081
425,242.52359
426,242.53075
427,242.54602
428,242.5564
429,242.56786
430,242.57187
431,242.5805
432,242.58762
433,242.59583
434,242.60663
435,242.61528
436,242.62944
437,242.64378
438,242.65147
439,242.63573
440,242.64636
441,242.65471
442,242.66302
443,242.66608
444,242.67456
445,242.68155
446,242.68634
447,242.69235
448,242.70331
449,242.7108
450,242.71959
451,242.73091
452,242.73677
453,242.74664
454,242.75934
455,242.77081
456,242.77682
457,242.78271
458,242.78839
459,242.79312
460,242.79572
461,242.80879
462,242.81757
463,242.82886
464,242.83722
465,242.84595
466,242.8493
467,242.86584
468,242.87938
469,242.88857
470,242.89868
471,242.90364
472,242.9128
473,242.91841
474,242.92557
475,242.93529
476,242.94069
477,242.94408
478,242.95836
479,242.96669
480,242.97717
481,242.98732
482,242.99721
483,243.00285
484,243.00754
485,243.01317
486,243.01584
487,243.02638
488,243.03957
489,243.04716
490,243.05562
491,243.05876
492,243.05774
493,243.066
494,243.07594
495,243.05319
496,243.06596
497,243.07574
498,243.07968
499,243.08841
500,243.09929
501,243.1078
502,243.1159
503,243.11887
504,243.11797
505,243.12335
506,243.12984
507,243.1413
508,243.14809
509,243.14662
510,243.15575
511,243.16248
512,243.17093
513,243.16914
514,243.17174
515,243.16954
516,243.17407
517,243.18155
518,243.18576
519,243.19296
520,243.20268
521,243.20404
522,243.20676
523,243.2092
524,243.21341
525,243.22173
526,243.22551
527,243.23015
528,243.23953
529,243.24368
530,243.25482
531,243.25998
532,243.26714
533,243.26381
534,243.2612
535,243.2662
536,243.27031
537,243.27994
538,243.28334
539,243.28639
540,243.29262
541,243.3014
542,243.30418
543,243.30685
544,243.3125
545,243.31363
546,243.3203
547,243.32242
548,243.32748
549,243.32951
550,243.32996
551,243.33295
552,243.33475
553,243.3427
554,243.34607
555,243.3512
556,243.35422
557,243.35963
558,243.36192
559,243.36693
560,243.3708
561,243.37978
562,243.39226
563,243.39468
564,243.40395
565,243.40654
566,243.40784
567,243.4076
568,243.40945
569,243.41534
570,243.41867
571,243.42325
572,243.42729
573,243.43237
574,243.43564
575,243.43959
576,243.44199
577,243.44432
578,243.44841
579,243.45638
580,243.45955
581,243.46324
582,243.46617
583,243.47124
584,243.47495
585,243.4794
586,243.48775
587,243.48476
588,243.48868
589,243.49478
590,243.5002
591,243.5006
592,243.5059
593,243.50752
594,243.51707
595,243.52335
596,243.52536
597,243.53128
598,243.5379
599,243.53825
600,243.54482
601,243.54846
602,243.5511
603,243.55513
604,243.55975
605,243.56287
606,243.56236
607,243.56786
608,243.57018
609,243.57596
610,243.57948
611,243.58282
612,243.5857
613,243.5884
614,243.59229
615,243.59375
616,243.59961
617,243.60161
618,243.60548
619,243.60886
620,243.60782
621,243.6075
622,243.61038
623,243.6139
624,243.61455
625,243.62206
626,243.62383
627,243.62639
628,243.62877
629,243.63078
630,243.63477
631,243.64076
632,243.64624
633,243.6454
634,243.64688
635,243.64796
636,243.65123
637,243.65169
638,243.65524
639,243.65929
640,243.66171
641,243.6641
642,243.66167
643,243.66348
644,243.66377
645,243.6646
646,243.66454
647,243.66919
648,243.6735
649,243.67906
650,243.68028
651,243.67838
652,243.67741
653,243.68163
654,243.68532
655,243.68497
656,243.69275
657,243.69487
658,243.69469
659,243.69324
660,243.69566
661,243.69351
662,243.69888
663,243.7016
664,243.70685
665,243.7086
666,243.70667
667,243.70633
668,243.70934
669,243.71904
670,243.72041
671,243.72021
672,243.72139
673,243.7204
674,243.7248
675,243.72954
676,243.7345
677,243.73795
678,243.74141
679,243.74747
680,243.75134
681,243.75229
682,243.75647
683,243.76334
684,243.76471
685,243.7659
686,243.76602
687,243.76254
688,243.7659
689,243.76465
690,243.76883
691,243.77396
