Итерация,Значение
408,0.43236667
409,0.42523333
410,0.39679998
411,0.42703333
412,0.40628773
413,0.38452947
414,0.39267862
415,0.422
416,0.41043332
417,0.42015564
418,0.38546667
419,0.42366666
420,0.42575434
421,0.4111617
422,0.43006667
423,0.43406665
424,0.4221
425,0.39336666
426,0.4261
427,0.4245
428,0.41683334
429,0.40983334
430,0.3925897
431,0.3893221
432,0.41626668
433,0.4303
434,0.39498064
435,0.43816668
436,0.38346666
437,0.40853333
438,0.41146666
439,0.40512165
440,0.41819426
441,0.39569446
442,0.4316566
443,0.38016668
444,0.41606668
445,0.39702237
446,0.4089
447,0.4051
448,0.40393332
449,0.40969715
450,0.28586668
451,0.4226
452,0.41866666
453,0.40783304
454,0.40866667
455,0.4047
456,0.41733333
457,0.4248
458,0.40703332
459,0.42971736
460,0.42896667
461,0.42283332
462,0.3919024
463,0.40083334
464,0.41450277
465,0.38867524
466,0.40146303
467,0.39636666
468,0.42193335
469,0.44146103
470,0.3838665
471,0.38993332
472,0.43533334
473,0.37289888
474,0.4424049
475,0.36840877
476,0.43446666
477,0.39493334
478,0.42146668
479,0.39829665
480,0.36093333
481,0.39153665
482,0.43412358
483,0.3899387
484,0.3877101
485,0.37819737
486,0.42916667
487,0.42238262
488,0.40252727
489,0.3845
490,0.41345924
491,0.41246668
492,0.39703333
493,0.37626377
494,0.43693334
495,0.40958282
496,0.4187519
497,0.43499395
498,0.35064012
499,0.38142538
500,0.29225963
501,0.39883333
502,0.44241232
503,0.40844166
504,0.4176
505,0.4484
506,0.42403334
507,0.4267
508,0.38320005
509,0.37926668
510,0.41993335
511,0.38336667
512,0.41258052
513,0.3727
514,0.44266668
515,0.38886195
516,0.38819999
517,0.40928483
518,0.3835
519,0.36945873
520,0.4222
521,0.41913334
522,0.4185344
523,0.4355
524,0.39983603
525,0.3799914
526,0.40783334
527,0.42416665
528,0.3775
529,0.42191014
530,0.40686935
531,0.4105805
532,0.42166668
533,0.36576667
534,0.40089914
535,0.38722664
536,0.39413333
537,0.38963333
538,0.39790002
539,0.4151312
540,0.43056667
541,0.3946694
542,0.4434333
543,0.40455794
544,0.42470056
545,0.4158
546,0.42576668
547,0.40677136
548,0.4170897
549,0.42157653
550,0.2971483
551,0.39723334
552,0.42656666
553,0.43546668
554,0.4177
555,0.42851892
556,0.3855977
557,0.42368189
558,0.40623334
559,0.39198318
560,0.37496665
561,0.3990256
562,0.40276513
563,0.43793333
564,0.3785375
565,0.38454303
566,0.4118
567,0.36573333
568,0.39646244
569,0.38965008
570,0.39175117
571,0.4168
572,0.42673334
573,0.4076
574,0.42162257
575,0.40273333
576,0.4271619
577,0.37676665
578,0.36623335
579,0.4524
580,0.40546668
581,0.41173333
582,0.42123333
583,0.38288
584,0.42332846
585,0.3983
586,0.36922273
587,0.43071425
588,0.39296666
589,0.4339
590,0.37273335
591,0.39763334
592,0.40716666
593,0.4527
594,0.43359998
595,0.39196667
596,0.3827
597,0.42156667
598,0.38036665
599,0.4101
600,0.28203332
601,0.37523332
602,0.4101
603,0.42623332
604,0.4099969
605,0.38796666
606,0.39013332
607,0.41586667
608,0.37227884
609,0.42589998
610,0.40996668
611,0.3879
612,0.41816667
613,0.39056668
614,0.37213662
615,0.4232
616,0.35836667
617,0.4270365
618,0.40976667
619,0.4319
620,0.40763333
621,0.41326666
622,0.431
623,0.4521372
624,0.3812022
625,0.34674662
626,0.40596667
627,0.39986667
628,0.42606667
629,0.38086668
630,0.4119261
631,0.3513
632,0.37525138
633,0.42763335
634,0.42596668
635,0.40556666
636,0.37461948
637,0.43623334
638,0.4357612
639,0.3737
640,0.38619998
641,0.44126666
642,0.40303335
643,0.39035347
644,0.4246
645,0.3871828
646,0.397
647,0.4271
648,0.3862
649,0.38916665
650,0.31526667
651,0.39652115
652,0.40956667
653,0.38579905
654,0.39546666
655,0.43853334
656,0.36943334
657,0.433
658,0.3874
659,0.4
660,0.41872144
661,0.42006665
662,0.4217
663,0.41413334
664,0.41121137
665,0.36479303
666,0.40831974
667,0.40223333
668,0.39080998
669,0.4026667
670,0.38363335
671,0.45286667
672,0.4267481
673,0.3669
674,0.3773768
675,0.35313332
676,0.36589536
677,0.4245
678,0.38853332
679,0.38079128
680,0.45793334
681,0.40376666
682,0.39083332
683,0.39963335
684,0.381
685,0.45443335
686,0.4416819
687,0.4208016
688,0.42043334
689,0.4299264
690,0.44236666
691,0.36586666
692,0.39329386
693,0.40388352
694,0.3942
695,0.4065455
696,0.36356667
697,0.35993335
698,0.39623058
699,0.41716665
700,0.26773334
701,0.37403333
702,0.43142995
703,0.40566665
704,0.40276667
705,0.3914
706,0.37416667
707,0.41982174
708,0.4281
709,0.368
710,0.4228463
711,0.3759
712,0.453
713,0.43737304
714,0.39261842
715,0.37190223
716,0.40978596
717,0.39966667
718,0.40560368
719,0.38853332
720,0.38023332
721,0.39968
722,0.41296667
723,0.36293414
724,0.41533333
725,0.40553334
726,0.4075
727,0.40493333
728,0.4217
729,0.41263333
730,0.3870613
731,0.39409786
732,0.38506666
733,0.38953334
734,0.4159
735,0.37063244
736,0.4122
737,0.38736665
738,0.41536668
739,0.4234226
740,0.4007
741,0.38696435
742,0.3565
743,0.39301383
744,0.3882727
745,0.38256666
746,0.3866
747,0.40554705
748,0.38333333
749,0.45342094
750,0.29076666
751,0.42673334
752,0.4213
753,0.38386667
754,0.4063
755,0.3734664
756,0.3656066
757,0.4427
758,0.42903334
759,0.42389268
760,0.39823332
761,0.3831644
762,0.4188
763,0.37388968
764,0.43116668
765,0.40121362
766,0.41493332
767,0.39363334
768,0.4255
769,0.40466666
770,0.38527054
771,0.39903334
772,0.38643333
773,0.4174
774,0.37313333
775,0.39583334
776,0.39793813
777,0.41753334
778,0.40786666
779,0.39233252
780,0.4071
781,0.38546667
782,0.42563334
783,0.40293333
784,0.40230107
785,0.4162
786,0.35283333
787,0.45436668
788,0.41693333
789,0.39886665
790,0.38840175
791,0.40264034
792,0.38169643
793,0.41176665
794,0.40703335
795,0.42741072
796,0.34023333
797,0.41136667
798,0.39446667
799,0.41903332
800,0.28333333
801,0.40837184
802,0.3763
803,0.39136666
804,0.3438231
805,0.4048772
806,0.39066666
807,0.40766665
808,0.4179
809,0.37142393
810,0.39488098
811,0.447
